adresse_station,arrondissement,statut_pdc,code_insee_commune,coordonneesxy,lat,long,id_pdc,last_date_time_update
62 Jean-Jacques Rousseau 75001 Paris,Paris centre,Disponible,75101,"[48.86409, 2.3437343]",48.86409,2.3437343,FR*V75*EPX01*02*4,2022-04-17 18:40:35+00:00
62 Jean-Jacques Rousseau 75001 Paris,Paris centre,Disponible,75101,"[48.86409, 2.3437343]",48.86409,2.3437343,FR*V75*EPX01*02*2,2022-04-17 12:20:09+00:00
3 Saint Roch 75001 Paris,Paris centre,Disponible,75101,"[48.864292, 2.3314855]",48.864292,2.3314855,FR*V75*EPX01*01*3,2022-04-17 15:54:35+00:00
12 Rue des Pyramides 75001 Paris,Paris centre,En maintenance,75101,"[48.86486, 2.3329713]",48.86486,2.3329713,FR*V75*EPX01*04*2,2022-04-17 02:30:02+00:00
14 Rue Bertin Poirée 75001 Paris,Paris centre,Disponible,75101,"[48.85881, 2.3449502]",48.85881,2.3449502,FR*V75*EPX01*03*4,2022-04-17 10:03:39+00:00
17 Avenue Victoria 75001 Paris,Paris centre,Disponible,75101,"[48.85788, 2.34681]",48.85788,2.34681,FR*V75*EPX01*06*1,2022-04-17 18:46:45+00:00
17 Avenue Victoria 75001 Paris,Paris centre,Disponible,75101,"[48.85788, 2.34681]",48.85788,2.34681,FR*V75*EPX01*06*5,2022-04-17 02:30:02+00:00
1 Rue de L'Amiral De Coligny 75001 Paris,Paris centre,Disponible,75101,"[48.86003, 2.34046]",48.86003,2.34046,FR*V75*E9001*02*1,2022-04-17 14:56:23+00:00
4 Rue des Croix des Petits Champs 75001 Paris,Paris centre,Disponible,75101,"[48.862465, 2.3393006]",48.862465,2.3393006,FR*V75*EPX01*05*3,2022-04-17 18:12:40+00:00
3 Saint Roch 75001 Paris,Paris centre,Disponible,75101,"[48.864292, 2.3314855]",48.864292,2.3314855,FR*V75*EPX01*01*1,2022-04-17 14:10:29+00:00
62 Jean-Jacques Rousseau 75001 Paris,Paris centre,En maintenance,75101,"[48.86409, 2.3437343]",48.86409,2.3437343,FR*V75*EPX01*02*1,2022-04-17 02:30:02+00:00
12 Rue des Pyramides 75001 Paris,Paris centre,Occupé (en charge),75101,"[48.86486, 2.3329713]",48.86486,2.3329713,FR*V75*EPX01*04*6,2022-04-17 17:53:55+00:00
4 Rue des Croix des Petits Champs 75001 Paris,Paris centre,Occupé (en charge),75101,"[48.862465, 2.3393006]",48.862465,2.3393006,FR*V75*EPX01*05*2,2022-04-17 15:19:50+00:00
17 Avenue Victoria 75001 Paris,Paris centre,Disponible,75101,"[48.85788, 2.34681]",48.85788,2.34681,FR*V75*EPX01*06*4,2022-04-17 16:54:36+00:00
3 Saint Roch 75001 Paris,Paris centre,Disponible,75101,"[48.864292, 2.3314855]",48.864292,2.3314855,FR*V75*EPX01*01*2,2022-04-17 16:59:26+00:00
17 Avenue Victoria 75001 Paris,Paris centre,Occupé (en charge),75101,"[48.85788, 2.34681]",48.85788,2.34681,FR*V75*EPX01*06*3,2022-04-17 15:29:02+00:00
14 Rue Bertin Poirée 75001 Paris,Paris centre,Occupé (en charge),75101,"[48.85881, 2.3449502]",48.85881,2.3449502,FR*V75*EPX01*03*2,2022-04-17 15:50:57+00:00
12 Rue des Pyramides 75001 Paris,Paris centre,Disponible,75101,"[48.86486, 2.3329713]",48.86486,2.3329713,FR*V75*EPX01*04*5,2022-04-17 15:06:15+00:00
12 Rue des Pyramides 75001 Paris,Paris centre,Disponible,75101,"[48.86486, 2.3329713]",48.86486,2.3329713,FR*V75*EPX01*04*4,2022-04-17 02:30:02+00:00
14 Rue Bertin Poirée 75001 Paris,Paris centre,Occupé (en charge),75101,"[48.85881, 2.3449502]",48.85881,2.3449502,FR*V75*EPX01*03*3,2022-04-17 16:50:33+00:00
3 Saint Roch 75001 Paris,Paris centre,Disponible,75101,"[48.864292, 2.3314855]",48.864292,2.3314855,FR*V75*EPX01*01*4,2022-04-17 18:03:51+00:00
1 Rue de L'Amiral De Coligny 75001 Paris,Paris centre,Disponible,75101,"[48.86003, 2.34046]",48.86003,2.34046,FR*V75*E9001*02*3,2022-04-17 11:54:21+00:00
12 Rue des Pyramides 75001 Paris,Paris centre,Occupé (en charge),75101,"[48.86486, 2.3329713]",48.86486,2.3329713,FR*V75*EPX01*04*1,2022-04-17 17:25:56+00:00
14 Rue Bertin Poirée 75001 Paris,Paris centre,Disponible,75101,"[48.85881, 2.3449502]",48.85881,2.3449502,FR*V75*EPX01*03*1,2022-04-17 18:28:34+00:00
12 Rue des Pyramides 75001 Paris,Paris centre,Occupé (en charge),75101,"[48.86486, 2.3329713]",48.86486,2.3329713,FR*V75*EPX01*04*3,2022-04-17 17:52:36+00:00
17 Avenue Victoria 75001 Paris,Paris centre,Disponible,75101,"[48.85788, 2.34681]",48.85788,2.34681,FR*V75*EPX01*06*2,2022-04-17 02:30:02+00:00
1 Rue de L'Amiral De Coligny 75001 Paris,Paris centre,Disponible,75101,"[48.86003, 2.34046]",48.86003,2.34046,FR*V75*E9001*02*2,2022-04-17 13:00:16+00:00
14 Rue Bertin Poirée 75001 Paris,Paris centre,Disponible,75101,"[48.85881, 2.3449502]",48.85881,2.3449502,FR*V75*EPX01*03*6,2022-04-17 15:33:18+00:00
